"TORG","GROUP","PRIMARY"
"T366","PEOPLE AGAINST GANGSTERISM AND DRUGS (PAGAD)",1
"T366","PEOPLE AGAINST GANSTERISM AND DRUGS (PAGAD)",0
"T367","BARISAN REVOLUSI NASIONAL (BRN)",1
"T367","BARISAN REVOLUSI NASIONAL MELAYU PATTANI (BRN)",0
"T368","PEOPLE'S LIBERATION FORCES (COLOMBIA)",1
"T369","PEOPLE'S LIBERATION FORCES (FPL)",1
"T369","FARABUNDO MARTI POPULAR LIBERATION FORCES",0
"T369","FUERZAS POPULARES DE LIBERACION (FPL)",0
"T369","PEOPLE'S LIBERATION FORCES (EL SALVADOR)",0
"T369","POPULAR FORCES OF LIBERATION",0
"T369","POPULAR LIBERATION FORCES",0
"T370","PEOPLE'S REVOLUTIONARY ARMY (ARGENTINA)",1
"T370","EJERCITO REVOLUCIONARIO DEL PUEBLO (ERP) (ARGENTINA)",0
"T371","PEOPLE'S REVOLUTIONARY ARMY (ERP)",1
"T371","REVOLUTIONARY ARMY OF THE PEOPLE",0
"T371","EJERCITO REVOLUCIONARIO DEL PUEBLO (ERP)",0
"T371","EJERCITO REVOLUCIONARIO DEL PUEBLO (ERP) (COLOMBIA)",0
"T371","EJERCITO REVOLUCIONARIO DEL PUEBLO (ERP) (DOMINICAN REPUBLIC)",0
"T371","PEOPLE'S REVOLUTIONARY ARMY (COLOMBIA)",0
"T371","REVOLUTIONARY PEOPLE'S ARMY (ERP)",0
"T372","PEOPLE'S REVOLUTIONARY MILITIAS (MRP)",1
"T372","MILICIAS REVOLUCIONARIAS DEL PUEBLO",0
"T372","MILICIAS REVOLUCIONARIAS DEL PUEBLO (MRP)",0
"T372","PEOPLE'S REVOLUTIONARY MILITIAS",0
"T372","PEOPLE'S REVOLUTIONARY MILITIAS (ECUADOR)",0
"T373","PEOPLE'S REVOLUTIONARY ORGANIZATION",1
"T373","ORGANIZACION REVOLUCIONARIA PUEBLO",0
"T374","PEOPLE'S WAR GROUP (PWG)",1
"T374","COMMUNIST PARTY OF INDIA-MARXIST LENINIST (PEOPLE'S WAR) CPI-ML (PW)",0
"T374","PEOPLEÕS WAR GROUP",0
"T374","PEOPLE'S GUERRILLA ARMY (PGA)",0
"T374","PEOPLE'S WAR (PW)",0
"T374","PEOPLE'S WAR GROUP",0
"T375","PERONIST ARMED FORCES (FAP)",1
"T375","FUERZAS ARMADAS PERONISTAS (FAP)",0
"T376","POLISARIO FRONT",1
"T376","FRENTE POPULAR PARA LA LIBERACION DE SAGUIA EL HAMRA Y RIO DE ORO",0
"T377","POPULAR FORCES OF APRIL 25",1
"T377","FORàAS POPULARES DO 25 ABRIL (FP-25)",0
"T378","POPULAR FRONT FOR THE LIBERATION OF PALESTINE (PFLP)",1
"T378","ABU ALI MUSTAFA BRIGADES",0
"T378","ABU-ALI MUSTAFA BRIGADES",0
"T378","AL-JABHA ASH-SHA'ABIYA LI-TAHRIR FALASTIN",0
"T378","AL-JABNA AL-SHABIYYA LI-TAHRIR FILASTIN",0
"T378","MARTYR ABU-ALI MUSTAFA BRIGADES",0
"T378","POPULAR FRONT FOR THE LIBERATION OF PALESTINE",0
"T378","RED EAGLES",0
"T379","POPULAR FRONT FOR THE LIBERATION OF PALESTINE, GEN CMD (PFLP-GC)",1
"T379","POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND (PFLP-GC)",0
"T379","POPULAR FRONT FOR THE LIBERATION OF PALESTINE- GENERAL COMMAND (PFLP-GC)",0
"T380","POPULAR LIBERATION ARMY (EPL)",1
"T380","EJƒRCITO POPULAR DE LIBERACIîN",0
"T380","EJƒRCITO POPULAR DE LIBERACIîN (EPL)",0
"T380","JOSE SOLANO SEPULVEDA",0
"T380","LIBARDO MORA TORO",0
"T380","PEOPLEÕS LIBERATION ARMY",0
"T380","PEOPLEÕS LIBERATION ARMY (EPL)",0
"T380","PEOPLE'S LIBERATION ARMY",0
"T380","PEOPLE'S LIBERATION ARMY (EPL)",0
"T380","POPULAR LIBERATION ARMY",0
"T381","POPULAR MOVEMENT FOR THE LIBERATION OF ANGOLA",1
"T381","MOVIMENTO POPULAR DE LIBERTAà?O DE ANGOLA",0
"T381","POPULAR MOVEMENT FOR THE LIBERATION OF ANGOLA-PARTY OF LABOR",0
"T382","POPULAR RESISTANCE (LAIKI ANTISTASI)",1
"T382","LAIKI ANTISTASI",0
"T382","POPULAR RESISTANCE",0
"T383","POPULAR RESISTANCE COMMITTEES",1
"T383","POPULAR RESISTANCE COMMITTEES (PRC)",0
"T384","POPULAR REVOLUTIONARY ACTION",1
"T384","LAIKI EPANASTATIKI DHRASI (LED)",0
"T385","POPULAR REVOLUTIONARY FRONT (LEM)",1
"T385","LAIKI EPANASTATIKO METOPO (LEM)",0
"T386","POPULAR REVOLUTIONARY RESISTANCE GROUP",1
"T387","POPULAR REVOLUTIONARY VANGUARD",1
"T387","POPULAR REVOLUTIONARY VANGUARD (VPR)",0
"T387","VANGUARDIA POPULAR REVOLUCIONARIA (VPR)",0
"T388","MAYI MAYI",1
"T388","FORCES D AUTO-DEFENSE POPULAIRES",0
"T388","FORCES D'AUTO-DEFENSE POPULAIRES",0
"T388","MAI MAI",0
"T388","MAI-MAI",0
"T388","MAY MAY",0
"T388","MAYI-MAYI",0
"T388","MAY-MAY",0
"T388","POPULAR SELF-DEFENSE FORCES",0
"T388","POPULAR SELF-DEFENSE FORCES (FAP)",0
"T389","PROLETARIAN ACTION GROUP",1
"T390","HAIKA",1
"T390","HAIKA (SEGI)",0
"T390","SEGI",0
"T391","PROLETARIAN NUCLEI FOR COMMUNISM",1
"T391","NUCLEI PROLETARI PER COMUNISMO (NPC)",0
"T391","PROLETARIAN COMBATANT GROUPS",0
"T391","PROLETARIAN COMBATANT GROUPS (NPC)",0
"T392","PROLETARIAN REPRISALS",1
"T393","PROLETARIAN RESISTANCE",1
"T393","PROLETIARIAKI ANTISTASI",0
"T394","PROLETARIAN SOLIDARITY",1
"T395","PUERTO RICAN ARMED RESISTANCE",1
"T396","REAL IRISH REPUBLICAN ARMY (RIRA)",1
"T396","REAL IRA",0
"T396","REAL IRA (RIRA)",0
"T396","REAL IRISH REPUBLICAN ARMY",0
"T396","TRUE IRA",0
"T396","VOLUNTEERS OF IRELAND",0
"T397","REBEL ARMED FORCES (FAR)",1
"T397","FUERZAS ARMADAS REBELDES (FAR)",0
"T397","NOVEMBER 13TH MOVEMENT OF THE REBEL ARMED FORCES",0
"T397","REBEL ARMED FORCES OF GUATEMALA (FAR)",0
"T397","REVOLUTIONARY ARMED FORCES",0
"T398","ROTE ARMEE FRAKTION (RAF)",1
"T399","AFRICA MARINE COMMANDO",1
"T400","RED DAUGHTERS OF RAGE",1
"T401","RED GUERRILLA",1
"T401","RED GUERRILLA - ITALY",0
"T402","RED HAND DEFENDERS (RHD)",1
"T402","RED HAND DEFENDERS",0
"T403","RED LINE",1
"T404","REGIONAL INTENDANCY OF THE SIXTH REGION",1
"T405","REPUBLIC OF NEW AFRICA",1
"T405","REPUBLIC OF NEW AFRIKA",0
"T406","REPUBLIC OF TEXAS",1
"T406","PROVISIONAL GOVERNMENT OF THE REPUBLIC OF TEXAS",0
"T406","REPUBLIC OF TEXAS (ROT)",0
"T406","REPUBLIC OF TEXAS(ROT)",0
"T407","RESISTANCE, LIBERATION AND INDEPENDENCE ORGANIZATION (AAA)",1
"T408","AHLU-SUNAH WAL-JAMEA (SOMALIA)",1
"T408","AHLU SUNNA WALJAMA'A",0
"T408","AHLU SUNNA WALJAMA'A (ASWJ)",0
"T408","AHLU SUNNA WALJAMA'A (SOMALIA)",0
"T408","AHLU-SUNAH WAL-JAMEA",0
"T408","AHLU-SUNAH WAL-JAMEA (ASWJ)",0
"T409","REVENGE OF HEBREW BABIES",1
"T409","NIKMAT HAOLEILIM",0
"T409","NIKMAT HA'OLEILIM",0
"T409","REVENGE OF THE HEBREW BABIES",0
"T410","REVOLUTIONARY ACTION PARTY",1
"T411","REVOLUTIONARY ARMED CORPS (CAR)",1
"T411","CUERPO ARMADO REVOLUCIONARIO (CAR)",0
"T411","REVOLUTIONARY AMAZON COMMAND",0
"T412","REVOLUTIONARY ARMED FORCES OF COLOMBIA (FARC)",1
"T412","ARMED REVOLUTIONARY FORCES OF COLOMBIA (FARC)",0
"T412","BOLIVARIAN MOVEMENT FOR A NEW COLOMBIA",0
"T412","FARC",0
"T412","FARC [ARMED REVOLUTIONARY FORCES OF COLOMBIA]",0
"T412","FUERZAS ARMADAS REVOLUCIONARIAS DE COLOMBIA - EJERCITO DEL PUEBLO (FARC-EP)",0
"T412","FUERZAS ARMADAS REVOLUCIONARIAS DE COLOMBIA (FARC)",0
"T413","FUERZAS ARMADAS REVOLUCIONARIAS DEL PUEBLO (FARP)",1
"T413","REVOLUTIONARY ARMED FORCES OF THE PEOPLE (FARP)",0
"T414","REVOLUTIONARY ARMY",1
"T414","KAKUMEIGUN",0
"T414","REVOLUTIONARY ARMY (JAPAN)",0
"T415","LOFA DEFENCE FORCE (LDF)",1
"T415","LOFA DEFENCE FORCE",0
"T415","LOFA DEFENSE FORCE",0
"T415","LOFA DEFENSE FORCE (LDF)",0
"T416","REVOLUTIONARY BRIGADES",1
"T417","REVOLUTIONARY CELLS-ANIMAL LIBERATION BRIGADE",1
"T417","REVOLUTIONARY CELLS ANIMAL LIBERATION BRIGADE",0
"T417","REVOLUTIONARY CELLS-ANIMAL LIBERATION BRIGADE",0
"T418","REVOLUTIONARY COMMANDOS OF SOLIDARITY",1
"T418","COMANDOS REVOLUCIONARIOS DE LA SOLIDARIDAD",0
"T419","REVOLUTIONARY EELAM ORGANIZATION (EROS)",1
"T419","EELAM REVOLUTIONARY ORGANIZATION OF STUDENTS",0
"T420","REVOLUTIONARY FORCE SEVEN",1
"T421","REVOLUTIONARY FRONT FOR COMMUNISM",1
"T421","FRONTE RIVOLUZIONARIO DEL COMUNISMO (FRC)",0
"T422","REVOLUTIONARY FRONT FOR PROLETARIAN ACTION (FRAP)",1
"T422","FRONT REVOLUTIONNAIRE D'ACTION PROLETARIENNE (FRAP)",0
"T422","FRONT RƒVOLUTIONNAIRE D'ACTION PROLƒTARIENNE (FRAP)",0
"T422","LE FRONT RƒVOLUTIONNAIRE D'ACTION PROLƒTARIENNE (FRAP)",0
"T422","PROLETARIAN REVOLUTIONARY ACTION FRONT",0
"T422","PROLETARIAN REVOLUTIONARY ACTION FRONT (FRAP)",0
"T423","REVOLUTIONARY LENINIST BRIGADES",1
"T423","BRIGATE LENINISTE RIVOLUZIONARIE",0
"T424","REVOLUTIONARY LIBERATION ACTION",1
"T424","EPANASTATIKI APELEFTHEROTIKI DRASI",0
"T424","REVOLUTIONARY LIBERATION ACTION (EPANASTATIKI APELEVTHEROTIKI DRASI) - GREECE",0
"T425","REVOLUTIONARY MEMORY",1
"T426","REVOLUTIONARY NUCLEI",1
"T426","EPANASTATIKI PIRINES",0
"T426","REVOLUTIONARY CELLS",0
"T426","REVOLUTIONARY CELLS (GREECE)",0
"T427","REVOLUTIONARY OFFENSIVE CELLS",1
"T428","NOVEMBER 17 REVOLUTIONARY ORGANIZATION (N17RO)",1
"T428","17 NOVEMBER (N17)",0
"T428","EPANASTATIKI ORGANOSI 17 NOEMVRI",0
"T428","REVOLUTIONARY ORGANIZATION 17 NOVEMBER (RO-N17)",0
"T428","REVOLUTIONARY ORGANIZATION 17 NOVEMBER (RO-N17)NOVEMBER (RO-N17)",0
"T429","AL NASIRIN (INDIA)",1
"T430","REVOLUTIONARY PEOPLE'S STRUGGLE (ELA)",1
"T430","EPANASTATIKOS LAIKOS AGONAS (ELA)",0
"T430","REVOLUTIONARY POPULAR STRUGGLE",0
"T430","THE REVOLUTIONARY PEOPLE'S STRUGGLE",0
"T431","REVOLUTIONARY PERSPECTIVE",1
"T432","REVOLUTIONARY PROLETARIAN INITIATIVE NUCLEI (NIPR)",1
"T432","NUCLEI DI INIZIATIVA PROLETARIA RIVOLUZIONARIA (NIPR)",0
"T432","NUCLEUS FOR PROLETARIAN AND REVOLUTIONARY INITIATIVES",0
"T432","NUCLEUS OF THE PROLETARIAN REVOLUTIONARY INITIATIVE",0
"T432","PROLETARIAN INITIATIVE NUCLEI",0
"T432","REVOLUTIONARY PROLETARIAN INITIATIVE NUCLEI",0
"T433","REVOLUTIONARY PROLETARIAN NUCLEUS",1
"T433","NUCLEO PROLETARIO RIVOLUZIONARIO (NPR)",0
"T434","REVOLUTIONARY SOCIALISTS",1
"T435","REVOLUTIONARY STRUGGLE",1
"T435","EPANASTATIKOS AGHONAS",0
"T436","REVOLUTIONARY SUBVERSIVE FACTION-COMMANDO UNIBOMBER",1
"T436","REVOLUTIONARY FACTION TO OVERTHROW COMMANDO UNABOMBER",0
"T437","REVOLUTIONARY TORCH-BEARING RUN",1
"T438","REVOLUTIONARY UNITED FRONT (RUF)",1
"T438","REVOLUTIONARY UNITED FRONT",0
"T439","REVOLUTIONARY UNITED FRONT MOVEMENT",1
"T439","FRENTE UNIDO REVOLUCIONARIO MOVIMIENTO",0
"T440","REVOLUTIONARY VIOLENCE UNITS",1
"T440","REVOLUTIONARY VIOLENCE GROUP (RVG)",0
"T441","REVOLUTIONARY WORKER CLANDESTINE UNION OF THE PEOPLE PARTY",1
"T441","PARTIDO REVOLUCIONARIO OBRERO CLANDESTINO-UNION DEL PUEBLO - PROCUP",0
"T441","REVOLUTIONARY WORKER CLANDESTINE UNION OF THE PEOPLE PARTY (PROCUP)",0
"T442","RIGAS FEREOS",1
"T442","RIGAS FERREOS",0
"T443","RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS",1
"T443","ISLAMIC BRIGADE OF SHAHIDS RIYAD US-SALIKHEEN",0
"T443","RIYAD US-SALIHEYN",0
"T443","RIYAD US-SALIHEYN MARTYRS' BRIGADE",0
"T443","RIYADH-AS-SALIHEEN",0
"T443","RIYADUS-SALIHEYEN",0
"T443","RIYADUS-SALIHEYEN MARTYRS BRIGADE",0
"T443","RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS (RSRSBCM)",0
"T443","RSRSBCM",0
"T444","RUSSIAN NATIONAL UNITY",1
"T444","RUSSIAN NATIONAL UNITY (RNU)",0
"T444","RUSSKOE NATSIONALNOE EDINSTVO (RNE)",0
"T445","SAIF-UL-MUSLIMEEN",1
"T445","SAIF-UL-MUSLIMEEN LASHKAR JIHAD",0
"T445","SWORD OF MUSLIMS",0
"T446","SALAFIST GROUP FOR PREACHING AND FIGHTING (GSPC)",1
"T446","GROUPE SALAFISTE POUR LA PREDICATION ET LE COMBAT",0
"T446","SALAFIST GROUP FOR CALL AND COMBAT",0
"T446","SALAFIST GROUP FOR CALL AND COMBAT (GSPC)",0
"T446","SALAFIST GROUP FOR PREACHING AND COMBAT",0
"T446","SALAFIST GROUP FOR PREACHING AND COMBAT [GSPC]",0
"T447","SALAH AL-DIN BATTALIONS",1
"T447","AL-NASER SALAH AD-DIN BRIGADES",0
"T447","AL-NASIR SALAH AL-DIN BRIGADES",0
"T447","AL-NASIR SALAH-AL-DIN BRIGADES",0
"T447","SALAH AL-DIN BRIGADES",0
"T448","SANDINISTA NATIONAL LIBERATION FRONT (FSLN)",1
"T448","FRENTE SANDINISTA DE LIBERACION NACIONAL (FSLN)",0
"T449","SARAYA AL-SHUHUADA AL-JIHADIYAH FI AL-IRAQ",1
"T449","JIHADIST MARTYRS BRIGADES IN IRAQ",0
"T450","SARDINIAN AUTONOMY MOVEMENT",1
"T450","SARDINIAN AUTONOMY MOVEMENT (MAS)",0
"T451","SAVE KASHMIR MOVEMENT",1
"T452","SECRET ORGANIZATION ZERO",1
"T452","GROUP ZERO",0
"T452","ZERO",0
"T453","SEKIHOTAI",1
"T454","PEASANT SELF-DEFENSE GROUP (ACCU)",1
"T454","AUTODEFENSAS CAMPESINAS DE CORDOBA Y URABA",0
"T454","AUTODEFENSAS CAMPESINAS DE CîRDOBA Y URABç",0
"T454","AUTODEFENSAS CAMPESINAS DE CORDOBA Y URABA (ACCU)",0
"T454","AUTODEFENSAS CAMPESINAS DE CîRDOBA Y URABç (ACCU)",0
"T454","LAS AUTODEFENSAS CAMPESINAS DE CORDOBA Y URAB (ACCU)",0
"T454","LAS AUTODEFENSAS CAMPESINAS DE CîRDOBA Y URABç",0
"T454","PEASANT SELF-DEFENSE GROUP OF CORDOBA AND URABA",0
"T454","PEASANT SELF-DEFENSE GROUP OF CîRDOBA AND URABç",0
"T454","SELF-DEFENSE GROUPS OF CîRDOBA AND URABç",0
"T454","SELF-DEFENSE GROUPS OF CORDOBA AND URABA (ACCU)",0
"T455","SEPTEMBER-FRANCE",1
"T456","SHERIFF'S POSSE COMITATUS",1
"T456","POSSE COMITATUS",0
"T457","SHINING PATH (SL)",1
"T457","SENDERO LUMINOSO (SL)",0
"T457","SHINING PATH",0
"T458","NOBLES OF JORDAN",1
"T458","HONORABLES OF JORDAN",0
"T458","RIGHTEOUS OF JORDAN",0
"T458","SHURAFA AL-URDUN",0
"T459","SIHALA URUMAYA",1
"T459","SIHALA URUMAYA (SU)",0
"T460","SIMON BOLIVAR GUERRILLA COORDINATING BOARD (CGSB)",1
"T460","COORDINADORA GUERRILLERA SIM¢N BOLIVAR (CGSB)",0
"T460","SIMON BOLIVAR GUERILLA COORDINATING BOARD (CGSB)",0
"T460","SIMON BOLIVAR NATIONAL GUERRILLA COORDINATING BOARD (CNG)",0
"T461","SIPAH-E-SAHABA/PAKISTAN (SSP)",1
"T461","ANJUMAN SIPAH-E-SAHABA",0
"T461","GUARDIANS OF THE FRIENDS OF THE PROPHETS",0
"T461","MILLAT-E-ISLAMIA/PAKISTAN",0
"T461","SIPAH-E-SAHABA PAKISTAN",0
"T461","SIPAH-E-SAHABA PAKISTAN (SSP)",0
"T462","SOCIAL RESISTANCE",1
"T463","SOLIDARITY FOR POLITICAL PRISONERS",1
"T464","SOLIDARITY GAS CANISTERS",1
"T465","SOLIDARITY WITH 17N",1
"T466","SONS OF THE SOUTH",1
"T467","ISLAMIC OBSERVATION CENTRE (IOC)",1
"T467","ISLAMIC OBSERVATION CENTER",0
"T467","ISLAMIC OBSERVATION CENTER (IOC)",0
"T467","ISLAMIC OBSERVATION CENTRE",0
"T468","SOUTH LONDONDERRY VOLUNTEERS (SLV)",1
"T468","SOUTH LONDONDERRY PROTESTANT VOLUNTEERS",0
"T469","SOUTH MALUKU REPUBLIC (RMS)",1
"T469","REPUBLIK MALUKU SELATAN",0
"T469","SOUTH MALUKU REPUBLIC",0
"T470","SOUTH-WEST AFRICA PEOPLE'S ORGANIZATION (SWAPO)",1
"T471","SOUTHERN CALIFORNIA IRA",1
"T472","SPANISH BASQUE BATTALION",1
"T472","BATALLON VASCO-ESPA_OL (BVE)",0
"T472","BATALLON VASCO-ESPANOL (BVE)",0
"T472","SPANISH BASQUE BATTALION (BBE)",0
"T472","SPANISH BASQUE BATTALION (BBE) (RIGHTIST)",0
"T473","SPANISH NATIONAL ACTION",1
"T473","ACCION NACIONAL ESPANOLA",0
"T474","SPECIAL PURPOSE ISLAMIC REGIMENT (SPIR)",1
"T474","SPECIAL PURPOSE ISLAMIC REGIMENT",0
"T475","SRI NAKHARO",1
"T476","STUDENTS ISLAMIC MOVEMENT OF INDIA (SIMI)",1
"T476","STUDENT'S ISLAMIC MOVEMENT OF INDIA",0
"T477","SUDAN PEOPLE'S LIBERATION ARMY (SPLA)",1
"T477","SUDAN PEOPLES LIBERATION ARMY",0
"T477","SUDAN PEOPLE'S LIBERATION ARMY",0
"T477","SUDAN PEOPLES LIBERATION ARMY (SLA)",0
"T477","SUDAN PEOPLE'S LIBERATION ARMY (SLA)",0
"T477","SUDAN PEOPLES LIBERATION ARMY (SNLA)",0
"T477","SUDAN PEOPLE'S LIBERATION ARMY (SNLA)",0
"T477","SUDAN PEOPLES LIBERATION ARMY (SPLA)",0
"T477","SUDAN PEOPLES LIBERATION ARMY/MOVEMENT (SPLA/M)",0
"T477","SUDAN PEOPLE'S LIBERATION ARMY/MOVEMENT (SPLA/M)",0
"T477","SUDAN PEOPLES LIBERATION MOVEMENT (SPLM)",0
"T477","SUDAN PEOPLE'S LIBERATION MOVEMENT (SPLM)",0
"T477","SUDAN PEOPLES LIBERATION MOVEMENT SPLM",0
"T477","SUDAN PEOPLE'S LIBERATION MOVEMENT SPLM",0
"T477","THE SUDAN PEOPLES LIBERATION MOVEMENT AND SUDAN PEOPLES LIBERATION ARMY (SPLM/SPLA)",0
"T477","THE SUDAN PEOPLE'S LIBERATION MOVEMENT AND SUDAN PEOPLE'S LIBERATION ARMY (SPLM/SPLA)",0
"T478","SUPPORTERS OF HORST LUDWIG MEYER",1
"T478","ACTION GROUP HORST LUDWIG MEYER",0
"T478","VERFECHTER VON HORST LUDWIG MEYER",0
"T479","SWORD OF ISLAM",1
"T480","SYRIAN SOCIAL NATIONALIST PARTY",1
"T480","AL-HIZB A-SURI AL-QAWMI AL-IJTIMA'EE",0
"T481","TAKFIR WAL-HIJRA (EXCOMMUNICATION AND EXODUS)",1
"T481","ANATHEMA AND EXILE",0
"T481","EXCOMMUNICATION AND EMIGRATION",0
"T481","EXCOMMUNICATION AND EXODUS",0
"T481","MARTYRS FOR MOROCCO",0
"T481","REJECTION OF SINS AND EXODUS",0
"T481","TAKFIR WA HIJARA",0
"T481","TAKFIR WA HIJRA",0
"T481","TAKFIR WAL HIJRA",0
"T481","TAKFIR WA'L HIJRA",0
"T482","TALIBAN",1
"T482","TALEBAN",0
"T483","TANZIM",1
"T484","SUDANESE ALLIANCE FORCES",1
"T484","SUDAN ALLIANCE FORCES",0
"T484","THE SUDAN ALLIANCE FORCES",0
"T485","TERRA LLIURE",1
"T485","FREE LAND",0
"T485","TERRA LLIURE (TL)",0
"T486","DEVRIMICI HALK KURTULUS CEPHESI (DHKP/C)",1
"T486","DEV SOL (KARATAS FACTION)",0
"T486","DEVRIMCI HALK KURTULUS PARTISI / CEPHESI",0
"T486","DEVRIMCI HALK KURTULUS PARTISI/CEPHESI",0
"T486","DEVRIMCI HALK KURTULUS PARTISI-CEPHESI",0
"T486","DEVRIMCI SOL (KARATAS FACTION)",0
"T486","DHKP/C",0
"T486","DHKP-C",0
"T486","REVOLUTIONARY LEFT",0
"T486","REVOLUTIONARY PEOPLE'S LIBERATION PARTY-FRONT",0
"T486","RPLP/F",0
"T486","RPLP-F",0
"T487","THE EXTRADITABLES",1
"T487","LOS EXTRADITABLES",0
"T488","HOLDERS OF THE BLACK BANNERS",1
"T488","THE HOLDERS OF THE BLACK BANNERS",0
"T489","THE INEVITABLES",1
"T490","NATIONAL ANTI-CORRUPTION FRONT (FNA)",1
"T490","FRENTE NACIONAL DE LA CONTRA-CORRUPCION",0
"T490","NATIONAL ANTI-CORRUPTION FRONT",0
"T490","THE NATIONAL ANTI-CORRUPTION FRONT",0
"T491","THIRD OF OCTOBER GROUP",1
"T491","3 OCTOBER ARMENIAN NATIONALISM MOVEMENT",0
"T491","3 OCTOBER MOVEMENT",0
"T491","3RD OCTOBER ORGANIZATION",0
"T492","TIGERS",1
"T493","TIGRAY PEOPLES LIBERATION FRONT (TPLF)",1
"T493","TIGRAI PEOPLES LIBERATION FRONT",0
"T494","TKEP/L",1
"T494","TKEP-L",0
"T494","TURKISH COMMUNIST LABOR PARTY/LENINIST",0
"T494","TURKISH COMMUNIST LABOR PARTY/LENINIST (TKEP/L)",0
"T494","TURKISH COMMUNIST LABOR PARTY-LENINIST",0
"T494","TURKISH COMMUNIST LABOR PARTY-LENINIST (TKEP-L)",0
"T494","TURKIYE KOMUNIST EMEK PARTISI/LENINIST",0
"T494","TURKIYE KOMUNIST EMEK PARTISI-LENINIST",0
"T495","PEOPLE'S LIBERATION ARMY",1
"T495","MAOIST COMMUNIST PARTY",0
"T495","MAOIST COMMUNIST PARTY (TURKEY)",0
"T495","MAOIST KOM†NIST PARTISI",0
"T495","MAOIST KOM†NIST PARTISI (MKP)",0
"T495","MAOIST KOMUNIST PARTISI (MKP) (TURKEY)",0
"T495","PEOPLE'S LIBERATION ARMY (TURKEY)",0
"T495","TKP/ML-TIKKO",0
"T495","TURKISH COMMUNIST PARTY/MARXIST LENINIST",0
"T495","TURKISH WORKERS' AND PEASANTS' LIBERATION ARMY",0
"T495","TURKIYE KOMUNIST PARTISI/MARKSIST-LENINIST-TURKIYE ISCI KOYLU KURTULUS ORDUSU",0
"T496","TONTONS MACOUTES",1
"T496","BOOGEYMEN",0
"T496","NATIONAL SECURITY VOLUNTEERS",0
"T497","TORRID WINTER",1
"T498","ASSOCIATION TOTALEMENT ANTI-GUERRE (ATAG)",1
"T498","GROUPE ENTIEREMENT OPPOSE A LA GUERRE",0
"T498","TOTALLY ANTI-WAR GROUP (ATAG)",0
"T499","TUNISIAN COMBATANT GROUP (TCG)",1
"T499","GROUPE COMBATTANT TUNISIEN",0
"T499","JAMA A COMBATTANTE TUNISIENNE (JCT)",0
"T499","JAMAA COMBATTANTE TUNISIENNE (JCT)",0
"T499","JAMA'A COMBATTANTE TUNISIENNE (JCT)",0
"T499","TUNISIAN COMBAT GROUP",0
"T499","TUNISIAN ISLAMIC FIGHTING GROUP",0
"T500","TUPAC AMARU REVOLUTIONARY MOVEMENT (MRTA)",1
"T500","MOVIMIENTO REVOLUCIONARIO TUPAC AMARU (MRTA)",0
"T501","TUPAC KATARI GUERRILLA ARMY (EGTK)",1
"T501","EJâRCITO GUERRILLERO T£PAC KATARI (EGTK)",0
"T502","TUPAMARO REVOLUTIONARY MOVEMENT",1
"T502","MOVIMIENTO TUPAMARO DE VENEZUELA - 23 DE ENERO",0
"T502","TUPAMARO REVOLUTIONARY FRONT",0
"T502","TUPAMARO REVOLUTIONARY MOVEMENT - JANUARY 23",0
"T502","TUPAMAROS (VENEZUELA)",0
"T503","MOVIMIENTO DE LIBERACION NACIONAL (MLN)",1
"T503","NATIONAL LIBERATION MOVEMENT",0
"T503","TUPAMAROS",0
"T503","TUPAMAROS (URUGUAY)",0
"T504","TURKISH HIZBALLAH",1
"T504","TURKISH HEZBALLAH",0
"T504","TURKISH HEZBOLLAH",0
"T504","TURKISH HIZBOLLAH",0
"T505","TURKISH ISLAMIC JIHAD",1
"T506","TURKISH PEOPLE'S LIBERATION ARMY (TPLA)",1
"T506","TRK HALK KURTULU? ORDUSU (THKO)",0
"T507","TURKISH PEOPLE'S LIBERATION FRONT (TPLF) (THKP-C)",1
"T507","TURKISH PEOPLE'S LIBERATION FRONT (TPLF)(THKP-C)",0
"T507","TURKISH PEOPLE'S LIBERATION PARTY-FRONT (TPLP-F)",0
"T507","T†RKIYE HALK KURTULU? PARTISI-CEPHESI (THKP-C)",0
"T507","TURKIYE HALK KURTULUS PARTISI-CEPHESI (THKP-C)",0
"T508","UGANDA DEMOCRATIC CHRISTIAN ARMY (UDCA)",1
"T509","UKRAINIAN REACTIONARY FORCE",1
"T510","ULSTER FREEDOM FIGHTERS (UFF)",1
"T510","ULSTER DEFENCE ASSOCIATION (UDA)",0
"T510","ULSTER DEFENCE ASSOCIATION/ULSTER FREEDOM FIGHTERS",0
"T510","ULSTER DEFENSE ASSOCIATION",0
"T510","ULSTER DEFENSE ASSOCIATION / ULSTER FREEDOM FIGHTERS",0
"T510","ULSTER DEFENSE ASSOCIATION/ULSTER FREEDOM FIGHTERS",0
"T510","ULSTER FREEDOM FIGHTERS",0
"T511","ULSTER VOLUNTEER FORCE (UVF)",1
"T511","ULSTER VOLUNTEER FORCE",0
"T512","UMMAH LIBERATION ARMY",1
"T512","UMMAH LIBERATION ARMY (ULA)",0
"T513","UNCONTROLLED RAGE",1
